음절,성별,순위,글자,음,훈
연,F,3,姸,연,"고울"
연,F,4,年,년,"해"
연,F,5,緣,연,"인연"
연,F,6,演,연,"펼"
영,F,1,永,영,"길·읊을"
영,F,2,榮,영,"영화·꽃"
영,F,3,英,영,"꽃부리"
영,F,4,令,령,"하여금"
영,F,5,映,영,"비칠"
영,F,6,營,영,"경영할"
예,F,1,藝,예,"재주"
예,F,2,叡,예,"밝을"
예,F,3,睿,예,"슬기"
예,F,4,豫,예,"미리"
예,F,5,例,례,"법식"
예,F,6,譽,예,"기릴·명예"
오,F,1,吳,오,"나라 이름"
오,F,2,五,오,"다섯"
오,F,3,午,오,"낮"
오,F,4,吾,오,"나"
오,F,5,悟,오,"깨달을"
오,F,6,奧,오,"깊을"
온,F,1,溫,온,"따뜻할·쌓을"
온,F,2,穩,온,"편안할"
온,F,3,蘊,온,"쌓을·붕어마름"
온,F,4,瑥,온,"사람 이름"
온,F,5,稳,온,"편안할"
온,F,6,昷,온,"어질"
우,F,1,優,우,"넉넉할·뛰어날"
우,F,2,佑,우,"도울"
우,F,3,友,우,"벗"
우,F,4,雨,우,"비"
우,F,5,禹,우,"하우씨"
우,F,6,右,우,"오른쪽"
원,F,1,元,원,"으뜸"
원,F,2,原,원,"언덕·근원"
원,F,3,遠,원,"멀"
원,F,4,源,원,"근원"
원,F,5,園,원,"동산"
원,F,6,願,원,"원할"
유,F,1,有,유,"있을"
유,F,2,由,유,"말미암을"
유,F,3,柔,유,"부드러울"
유,F,4,維,유,"벼리·오직"
유,F,5,裕,유,"넉넉할"
유,F,6,遊,유,"놀"
윤,F,1,尹,윤,"다스릴"
윤,F,2,潤,윤,"불을·윤택할"
윤,F,3,允,윤,"맏·진실로"
윤,F,4,玧,윤,"귀막이 구슬"
윤,F,5,侖,륜,"생각할"
윤,F,6,倫,륜,"인륜"
율,F,1,率,률,"비율"
율,F,2,律,률,"법칙"
율,F,3,聿,율,"붓"
율,F,4,栗,률,"밤"
율,F,5,燏,율,"빛날"
율,F,6,汩,율,"흐를"
은,F,1,恩,은,"은혜"
은,F,2,隱,은,"숨을"
은,F,3,銀,은,"백금"
은,F,4,殷,은,"성할·은나라"
은,F,5,誾,은,"온화할"
은,F,6,垠,은,"지경"
을,F,1,乙,을,"새"
을,F,2,鳦,을,"제비"
음,F,1,音,음,"소리·그늘"
음,F,2,飮,음,"마실"
음,F,3,吟,음,"읊을"
음,F,4,蔭,음,"그늘"
음,F,5,韾,음,"화할"
음,F,6,愔,음,"조용할"
이,F,1,李,리,"오얏"
이,F,2,理,리,"다스릴"
이,F,3,利,리,"날카로울"
이,F,4,裏,리,"속"
이,F,5,履,리,"밟을·신"
이,F,6,里,리,"마을·속"
인,F,1,潾,린,"맑을"
인,F,2,隣,린,"이웃"
인,F,3,璘,린,"옥빛"
인,F,4,麟,린,"기린"
인,F,5,鱗,린,"비늘"
인,F,6,藺,린,"골풀"
임,F,1,林,림,"수풀"
임,F,2,臨,림,"임할"
임,F,3,琳,림,"옥"
임,F,4,任,임,"맡길·맞을"
임,F,5,壬,임,"북방"
임,F,6,恁,임,"생각할"
재,F,1,在,재,"있을"
재,F,2,載,재,"실을"
재,F,3,宰,재,"재상"
재,F,4,裁,재,"마를"
재,F,5,才,재,"재주"
재,F,6,齋,재,"재계할·집"
정,F,1,正,정,"바를·정월"
정,F,2,情,정,"뜻"
정,F,3,鄭,정,"정나라"
정,F,4,政,정,"정사·칠"
정,F,5,定,정,"정할·이마"
정,F,6,丁,정,"넷째 천간"
제,F,1,濟,제,"건널"
제,F,2,制,제,"절제할·지을"
제,F,3,齊,제,"가지런할"
제,F,4,除,제,"덜"
제,F,5,提,제,"끌"
제,F,6,際,제,"이음새"
주,F,1,周,주,"두루"
주,F,2,主,주,"임금·주인"
주,F,3,珠,주,"구슬"
주,F,4,柱,주,"기둥·버틸"
주,F,5,朱,주,"붉을"
주,F,6,株,주,"그루"
준,F,1,準,준,"준할"
준,F,2,俊,준,"준걸"
준,F,3,峻,준,"높을·준엄할"
준,F,4,晙,준,"밝을"
준,F,5,遵,준,"좇을"
준,F,6,埈,준,"높을"
지,F,1,智,지,"슬기"
지,F,2,知,지,"알"
지,F,3,地,지,"땅"
지,F,4,志,지,"뜻"
지,F,5,之,지,"갈"
지,F,6,至,지,"이를"
진,F,1,珍,진,"보배"
진,F,2,眞,진,"참"
진,F,3,陳,진,"베풀·묵을"
진,F,4,鎭,진,"진압할"
진,F,5,辰,진,"별 이름"
진,F,6,進,진,"나아갈"
채,F,1,彩,채,"채색"
채,F,2,採,채,"캘"
채,F,3,采,채,"풍채·캘"
채,F,4,菜,채,"나물"
채,F,5,綵,채,"비단"
채,F,6,蔡,채,"풀"
태,F,1,泰,태,"클"
태,F,2,台,태,"별·태풍"
태,F,3,太,태,"클"
태,F,4,兌,태,"바꿀·기쁠"
태,F,5,態,태,"모습"
태,F,6,跆,태,"밟을"
하,F,1,河,하,"물"
하,F,2,下,하,"아래"
하,F,3,荷,하,"멜·꾸짖을"
하,F,4,夏,하,"여름"
하,F,5,何,하,"어찌·꾸짖을"
하,F,6,霞,하,"노을"
한,F,1,漢,한,"한수·한나라"
한,F,2,韓,한,"한국·나라"
한,F,3,閑,한,"한가할·막을"
한,F,4,翰,한,"깃"
한,F,5,閒,한,"한가할"
한,F,6,罕,한,"드물"
해,F,1,海,해,"바다"
해,F,2,解,해,"풀"
해,F,3,偕,해,"함께"
해,F,4,奚,해,"어찌"
해,F,5,諧,해,"화할"
해,F,6,該,해,"갖출·마땅"
현,F,1,賢,현,"어질"
현,F,2,炫,현,"밝을"
현,F,3,鉉,현,"솥귀"
현,F,4,玄,현,"검을"
현,F,5,現,현,"나타날"
현,F,6,見,현,"뵈올"
혜,F,1,慧,혜,"슬기로울"
혜,F,2,惠,혜,"은혜"
혜,F,3,彗,혜,"비"
혜,F,4,蕙,혜,"풀 이름"
혜,F,5,兮,혜,"어조사"
혜,F,6,鞋,혜,"신"
호,F,1,虎,호,"범"
호,F,2,鎬,호,"땅 이름"
호,F,3,好,호,"좋을"
호,F,4,豪,호,"호걸"
호,F,5,浩,호,"넓을"
호,F,6,號,호,"이름·부르짖을"
효,F,1,孝,효,"효도"
효,F,2,效,효,"본받을"
효,F,3,曉,효,"새벽"
효,F,4,爻,효,"사귈"
효,F,5,嚆,효,"울릴"
효,F,6,斅,효,"가르칠"
후,F,1,後,후,"뒤"
후,F,2,厚,후,"두터울"
후,F,3,候,후,"기후·살필"
후,F,4,后,후,"임금·뒤"
후,F,5,侯,후,"제후·과녁"
후,F,6,煦,후,"따뜻하게 할"
희,F,1,喜,희,"기쁠"
희,F,2,熙,희,"빛날"
희,F,3,希,희,"바랄"
희,F,4,熹,희,"빛날"
희,F,5,羲,희,"복희씨"
희,F,6,稀,희,"드물"
가,M,1,可,가,"옳을"
가,M,2,家,가,"집"
가,M,3,歌,가,"노래"
가,M,4,加,가,"더할"
가,M,5,架,가,"시렁"
가,M,6,暇,가,"틈·겨를"
강,M,1,姜,강,"성씨·생강"
강,M,2,康,강,"편안·들"
강,M,3,江,강,"가람·큰물"
강,M,4,講,강,"외울"
강,M,5,降,강,"내릴"
강,M,6,綱,강,"벼리"
건,M,1,建,건,"세울·엎지를"
건,M,2,乾,건,"하늘·마를"
건,M,3,健,건,"굳셀"
건,M,4,件,건,"물건"
건,M,5,巾,건,"수건"
건,M,6,虔,건,"공경할"
결,M,1,結,결,"맺을"
결,M,2,決,결,"결단할"
결,M,3,潔,결,"깨끗할"
결,M,4,鍥,결,"새길"
결,M,5,玦,결,"패옥"
결,M,6,洯,결,"깨끗할"
겸,M,1,兼,겸,"겸할"
겸,M,2,謙,겸,"겸손할"
겸,M,3,鎌,겸,"낫"
겸,M,4,縑,겸,"합사 비단"
겸,M,5,蒹,겸,"갈대"
겸,M,6,拑,겸,"입다물"
경,M,1,經,경,"날"
경,M,2,慶,경,"경사"
경,M,3,景,경,"볕"
경,M,4,敬,경,"공경"
경,M,5,京,경,"서울"
경,M,6,更,경,"고칠"
규,M,1,圭,규,"홀"
규,M,2,規,규,"법"
규,M,3,奎,규,"별"
규,M,4,揆,규,"헤아릴"
규,M,5,珪,규,"홀"
규,M,6,葵,규,"해바라기"
기,M,1,機,기,"틀"
기,M,2,旣,기,"이미"
기,M,3,其,기,"그"
기,M,4,基,기,"터"
기,M,5,氣,기,"기운"
기,M,6,己,기,"몸"
다,M,1,多,다,"많을"
다,M,2,茶,다,"차"
다,M,3,夛,다,"많을"
다,M,4,奲,다,"풍부할"
단,M,1,端,단,"끝"
단,M,2,單,단,"홑"
단,M,3,團,단,"둥글·경단"
단,M,4,段,단,"조각"
단,M,5,丹,단,"붉을"
단,M,6,壇,단,"제터"
대,M,1,大,대,"클·큰"
대,M,2,對,대,"대할"
대,M,3,臺,대,"누각"
대,M,4,帶,대,"띠"
대,M,5,待,대,"기다릴"
대,M,6,代,대,"대신할"
도,M,1,道,도,"길"
도,M,2,度,도,"법도"
도,M,3,徒,도,"무리"
도,M,4,都,도,"도읍"
도,M,5,到,도,"이를"
도,M,6,圖,도,"그림"
동,M,1,東,동,"동녘"
동,M,2,動,동,"움직일"
동,M,3,同,동,"한가지"
동,M,4,洞,동,"골"
동,M,5,冬,동,"겨울·북소리"
동,M,6,童,동,"아이"
라,M,1,羅,라,"그물"
라,M,2,蘿,라,"쑥"
라,M,3,螺,라,"소라"
라,M,4,喇,라,"나팔"
라,M,5,邏,라,"순라"
라,M,6,蓏,라,"열매"
람,M,1,藍,람,"쪽"
람,M,2,覽,람,"볼"
람,M,3,嵐,람,"남기"
람,M,4,攬,람,"가질"
람,M,5,籃,람,"대바구니"
람,M,6,纜,람,"닻줄"
랑,M,1,浪,랑,"물결"
랑,M,2,郞,랑,"사내"
랑,M,3,琅,랑,"옥돌"
랑,M,4,瑯,랑,"옥돌"
랑,M,5,郎,랑,"사내"
랑,M,6,烺,랑,"밝게 빛나는 모양"
로,M,1,露,로,"이슬"
로,M,2,路,로,"길"
로,M,3,勞,로,"일할"
로,M,4,盧,로,"목로"
로,M,5,鹵,로,"소금"
로,M,6,爐,로,"화로"
명,M,1,明,명,"밝을"
명,M,2,名,명,"이름"
명,M,3,命,명,"목숨"
명,M,4,銘,명,"새길"
명,M,5,皿,명,"그릇"
명,M,6,溟,명,"바다"
민,M,1,珉,민,"옥돌"
민,M,2,民,민,"백성"
민,M,3,旻,민,"가을 하늘"
민,M,4,旼,민,"화할·하늘"
민,M,5,敏,민,"민첩할"
민,M,6,玟,민,"아름다운 돌"
범,M,1,範,범,"법"
범,M,2,凡,범,"무릇"
범,M,3,泛,범,"뜰"
범,M,4,汎,범,"넓을"
범,M,5,梵,범,"불경"
범,M,6,帆,범,"돛"
빈,M,1,彬,빈,"빛날"
빈,M,2,斌,빈,"빛날"
빈,M,3,頻,빈,"자주"
빈,M,4,濱,빈,"물가"
빈,M,5,浜,빈,"물가"
빈,M,6,玭,빈,"옥"
상,M,1,上,상,"윗"
상,M,2,相,상,"서로"
상,M,3,常,상,"떳떳할·항상"
상,M,4,象,상,"코끼리"
상,M,5,尙,상,"오히려"
상,M,6,商,상,"헤아릴·장사"
서,M,1,瑞,서,"상서"
서,M,2,書,서,"글"
서,M,3,徐,서,"천천히 할"
서,M,4,序,서,"차례"
서,M,5,敍,서,"차례"
서,M,6,西,서,"서녘"
석,M,1,石,석,"돌·섬"
석,M,2,釋,석,"풀"
석,M,3,錫,석,"주석"
석,M,4,昔,석,"예"
석,M,5,析,석,"쪼갤"
석,M,6,席,석,"자리"
선,M,1,善,선,"착할"
선,M,2,宣,선,"베풀"
선,M,3,鮮,선,"고울·적을"
선,M,4,先,선,"먼저"
선,M,5,船,선,"배"
선,M,6,禪,선,"물려줄"
섭,M,1,攝,섭,"다스릴·잡을"
섭,M,2,燮,섭,"화할"
섭,M,3,涉,섭,"건널"
섭,M,4,聶,섭,"소곤거릴"
섭,M,5,躡,섭,"밟을"
섭,M,6,囁,섭,"소곤거릴"
성,M,1,成,성,"이룰"
성,M,2,性,성,"성품"
성,M,3,聖,성,"성인"
성,M,4,星,성,"별"
성,M,5,城,성,"재"
성,M,6,省,성,"살필"
세,M,1,世,세,"인간·대"
세,M,2,歲,세,"해"
세,M,3,勢,세,"형세"
세,M,4,洗,세,"씻을"
세,M,5,細,세,"가늘"
세,M,6,洒,세,"씻을"
수,M,1,數,수,"셈"
수,M,2,秀,수,"빼어날"
수,M,3,水,수,"물"
수,M,4,修,수,"닦을"
수,M,5,壽,수,"목숨"
수,M,6,遂,수,"드디어·따를"
승,M,1,勝,승,"이길"
승,M,2,承,승,"이을"
승,M,3,昇,승,"오를"
승,M,4,乘,승,"탈"
승,M,5,繩,승,"노끈"
승,M,6,升,승,"되·오를"
시,M,1,是,시,"이·옳을"
시,M,2,時,시,"때"
시,M,3,施,시,"베풀"
시,M,4,始,시,"비로소"
시,M,5,示,시,"보일"
시,M,6,視,시,"볼"
신,M,1,申,신,"거듭·아홉째 지지"
신,M,2,新,신,"새"
신,M,3,身,신,"몸"
신,M,4,信,신,"믿을"
신,M,5,辛,신,"매울"
신,M,6,愼,신,"삼갈"
아,M,1,我,아,"나"
아,M,2,雅,아,"맑을·바를"
아,M,3,兒,아,"아이"
아,M,4,亞,아,"버금"
아,M,5,阿,아,"언덕"
아,M,6,芽,아,"싹"
안,M,1,安,안,"편안"
안,M,2,案,안,"책상"
안,M,3,顔,안,"낯"
안,M,4,按,안,"누를"
안,M,5,岸,안,"언덕"
안,M,6,晏,안,"늦을"
양,M,1,陽,양,"볕"
양,M,2,揚,양,"날릴"
양,M,3,梁,량,"들보"
양,M,4,讓,양,"사양할"
양,M,5,良,량,"어질"
양,M,6,養,양,"기를"
여,M,1,麗,려,"고울"
여,M,2,慮,려,"생각할"
여,M,3,旅,려,"나그네"
여,M,4,黎,려,"검을"
여,M,5,廬,려,"농막집"
여,M,6,勵,려,"힘쓸"
연,M,1,延,연,"늘일"
연,M,2,然,연,"불탈·그럴"
연,M,3,年,년,"해"
연,M,4,緣,연,"인연"
연,M,5,演,연,"펼"
연,M,6,淵,연,"못"
영,M,1,永,영,"길·읊을"
영,M,2,榮,영,"영화·꽃"
영,M,3,英,영,"꽃부리"
영,M,4,令,령,"하여금"
영,M,5,映,영,"비칠"
영,M,6,營,영,"경영할"
예,M,1,藝,예,"재주"
예,M,2,叡,예,"밝을"
예,M,3,睿,예,"슬기"
예,M,4,豫,예,"미리"
예,M,5,例,례,"법식"
예,M,6,譽,예,"기릴·명예"
오,M,1,吳,오,"나라 이름"
오,M,2,五,오,"다섯"
오,M,3,午,오,"낮"
오,M,4,吾,오,"나"
오,M,5,悟,오,"깨달을"
오,M,6,奧,오,"깊을"
온,M,1,溫,온,"따뜻할·쌓을"
온,M,2,穩,온,"편안할"
온,M,3,蘊,온,"쌓을·붕어마름"
온,M,4,瑥,온,"사람 이름"
온,M,5,稳,온,"편안할"
온,M,6,昷,온,"어질"
완,M,1,完,완,"완전할"
완,M,2,宛,완,"완연할"
완,M,3,莞,완,"왕골"
완,M,4,浣,완,"빨"
완,M,5,琓,완,"옥 이름"
완,M,6,碗,완,"사발"
요,M,1,要,요,"요긴할·허리"
요,M,2,樂,요,"좋아할"
요,M,3,約,요,"부절"
요,M,4,曜,요,"빛날"
요,M,5,料,료,"헤아릴"
요,M,6,療,료,"고칠"
용,M,1,容,용,"얼굴"
용,M,2,庸,용,"쓸"
용,M,3,用,용,"쓸"
용,M,4,勇,용,"날랠"
용,M,5,龍,룡,"용"
용,M,6,甬,용,"길"
우,M,1,優,우,"넉넉할·뛰어날"
우,M,2,佑,우,"도울"
우,M,3,友,우,"벗"
우,M,4,雨,우,"비"
우,M,5,禹,우,"하우씨"
우,M,6,右,우,"오른쪽"
욱,M,1,旭,욱,"아침 해"
욱,M,2,煜,욱,"빛날"
욱,M,3,昱,욱,"햇빛 밝을"
욱,M,4,郁,욱,"성할"
욱,M,5,勖,욱,"힘쓸"
욱,M,6,彧,욱,"문채"
운,M,1,運,운,"옮길"
운,M,2,雲,운,"구름"
운,M,3,云,운,"이를·구름"
운,M,4,韻,운,"운치·소리"
운,M,5,芸,운,"평지"
운,M,6,耘,운,"김맬"
울,M,1,菀,울,"무성할"
웅,M,1,雄,웅,"수컷"
웅,M,2,熊,웅,"곰"
원,M,1,元,원,"으뜸"
원,M,2,原,원,"언덕·근원"
원,M,3,遠,원,"멀"
원,M,4,源,원,"근원"
원,M,5,園,원,"동산"
원,M,6,願,원,"원할"
유,M,1,有,유,"있을"
유,M,2,由,유,"말미암을"
유,M,3,柔,유,"부드러울"
유,M,4,維,유,"벼리·오직"
유,M,5,裕,유,"넉넉할"
유,M,6,遊,유,"놀"
윤,M,1,尹,윤,"다스릴"
윤,M,2,潤,윤,"불을·윤택할"
윤,M,3,允,윤,"맏·진실로"
윤,M,4,玧,윤,"귀막이 구슬"
윤,M,5,侖,륜,"생각할"
윤,M,6,倫,륜,"인륜"
율,M,1,率,률,"비율"
율,M,2,律,률,"법칙"
율,M,3,聿,율,"붓"
율,M,4,栗,률,"밤"
율,M,5,燏,율,"빛날"
율,M,6,汩,율,"흐를"
은,M,1,恩,은,"은혜"
은,M,2,隱,은,"숨을"
은,M,3,銀,은,"백금"
은,M,4,殷,은,"성할·은나라"
은,M,5,誾,은,"온화할"
은,M,6,垠,은,"지경"
이,M,1,李,리,"오얏"
이,M,2,理,리,"다스릴"
이,M,3,利,리,"날카로울"
이,M,4,裏,리,"속"
이,M,5,履,리,"밟을·신"
이,M,6,里,리,"마을·속"
인,M,1,潾,린,"맑을"
인,M,2,隣,린,"이웃"
인,M,3,璘,린,"옥빛"
인,M,4,麟,린,"기린"
인,M,5,鱗,린,"비늘"
인,M,6,藺,린,"골풀"
재,M,1,在,재,"있을"
재,M,2,載,재,"실을"
재,M,3,宰,재,"재상"
재,M,4,裁,재,"마를"
재,M,5,才,재,"재주"
재,M,6,齋,재,"재계할·집"
정,M,1,正,정,"바를·정월"
정,M,2,情,정,"뜻"
정,M,3,鄭,정,"정나라"
정,M,4,政,정,"정사·칠"
정,M,5,定,정,"정할·이마"
정,M,6,丁,정,"넷째 천간"
제,M,1,濟,제,"건널"
제,M,2,制,제,"절제할·지을"
제,M,3,齊,제,"가지런할"
제,M,4,除,제,"덜"
제,M,5,提,제,"끌"
제,M,6,際,제,"이음새"
종,M,1,從,종,"좇을"
종,M,2,宗,종,"마루"
종,M,3,種,종,"씨"
종,M,4,縱,종,"세로"
종,M,5,鐘,종,"쇠북"
종,M,6,綜,종,"모을"
주,M,1,周,주,"두루"
주,M,2,主,주,"임금·주인"
주,M,3,珠,주,"구슬"
주,M,4,柱,주,"기둥·버틸"
주,M,5,朱,주,"붉을"
주,M,6,株,주,"그루"
준,M,1,準,준,"준할"
준,M,2,俊,준,"준걸"
준,M,3,峻,준,"높을·준엄할"
준,M,4,晙,준,"밝을"
준,M,5,遵,준,"좇을"
준,M,6,埈,준,"높을"
지,M,1,智,지,"슬기"
지,M,2,知,지,"알"
지,M,3,地,지,"땅"
지,M,4,志,지,"뜻"
지,M,5,之,지,"갈"
지,M,6,至,지,"이를"
진,M,1,珍,진,"보배"
진,M,2,眞,진,"참"
진,M,3,陳,진,"베풀·묵을"
진,M,4,鎭,진,"진압할"
진,M,5,辰,진,"별 이름"
진,M,6,進,진,"나아갈"
찬,M,1,燦,찬,"빛날"
찬,M,2,讚,찬,"기릴"
찬,M,3,贊,찬,"도울"
찬,M,4,餐,찬,"밥"
찬,M,5,纂,찬,"모을"
찬,M,6,撰,찬,"지을"
창,M,1,昌,창,"창성할"
창,M,2,暢,창,"펼"
창,M,3,窓,창,"창문"
창,M,4,倉,창,"곳집"
창,M,5,蒼,창,"푸를"
창,M,6,昶,창,"해 길·트일"
채,M,1,彩,채,"채색"
채,M,2,採,채,"캘"
